"associate_id","full_name","first_name","last_name","gender","start_date","month","month_year","tenure_months","total_sales"
5,"Maranda Torres","Maranda","Torres",1,2025-01-28,2025-04-01,"2025-04",3,41205.21
5,"Maranda Torres","Maranda","Torres",1,2025-01-28,2025-05-01,"2025-05",4,16045.67
5,"Maranda Torres","Maranda","Torres",1,2025-01-28,2025-06-01,"2025-06",5,10087.23
6,"Marissa Harwood","Marissa","Harwood",1,2025-03-15,2025-03-01,"2025-03",0,3368.99
6,"Marissa Harwood","Marissa","Harwood",1,2025-03-15,2025-04-01,"2025-04",1,13038.03
6,"Marissa Harwood","Marissa","Harwood",1,2025-03-15,2025-05-01,"2025-05",2,18204.24
6,"Marissa Harwood","Marissa","Harwood",1,2025-03-15,2025-06-01,"2025-06",3,8792.1
7,"Shiann Husa","Shiann","Husa",1,2025-01-02,2025-01-01,"2025-01",0,15900.8
7,"Shiann Husa","Shiann","Husa",1,2025-01-02,2025-02-01,"2025-02",1,1859.87
7,"Shiann Husa","Shiann","Husa",1,2025-01-02,2025-03-01,"2025-03",2,49831.08
7,"Shiann Husa","Shiann","Husa",1,2025-01-02,2025-04-01,"2025-04",3,40415.27
7,"Shiann Husa","Shiann","Husa",1,2025-01-02,2025-05-01,"2025-05",4,5242.45
7,"Shiann Husa","Shiann","Husa",1,2025-01-02,2025-06-01,"2025-06",5,43626.73
8,"Bailey Perry","Bailey","Perry",1,2025-06-10,2025-06-01,"2025-06",0,28174.71
9,"Blas Soto","Blas","Soto",0,2025-06-23,2025-06-01,"2025-06",0,21647.54
10,"Kira Kim","Kira","Kim",1,2025-06-28,2025-06-01,"2025-06",0,4314.2
11,"Cesar Castillo","Cesar","Castillo",0,2025-03-12,2025-03-01,"2025-03",0,28510.46
11,"Cesar Castillo","Cesar","Castillo",0,2025-03-12,2025-04-01,"2025-04",1,4465.37
11,"Cesar Castillo","Cesar","Castillo",0,2025-03-12,2025-05-01,"2025-05",2,11358.21
11,"Cesar Castillo","Cesar","Castillo",0,2025-03-12,2025-06-01,"2025-06",3,27931.4
12,"Carlee Mack","Carlee","Mack",1,2025-06-26,2025-06-01,"2025-06",0,24617.09
13,"Colin Apted","Colin","Apted",0,2025-05-09,2025-05-01,"2025-05",0,8814.02
13,"Colin Apted","Colin","Apted",0,2025-05-09,2025-06-01,"2025-06",1,8329.37
14,"Rose Acosta","Rose","Acosta",1,2025-01-01,2025-01-01,"2025-01",0,25464.37
14,"Rose Acosta","Rose","Acosta",1,2025-01-01,2025-02-01,"2025-02",1,47087.68
14,"Rose Acosta","Rose","Acosta",1,2025-01-01,2025-03-01,"2025-03",2,17377.34
14,"Rose Acosta","Rose","Acosta",1,2025-01-01,2025-04-01,"2025-04",3,10233.28
14,"Rose Acosta","Rose","Acosta",1,2025-01-01,2025-05-01,"2025-05",4,14216.09
14,"Rose Acosta","Rose","Acosta",1,2025-01-01,2025-06-01,"2025-06",5,27006.46
15,"Jonathan Ranjo","Jonathan","Ranjo",0,2025-06-02,2025-06-01,"2025-06",0,2051.06
16,"Saif el-Muhammad","Saif","el-Muhammad",0,2025-01-24,2025-01-01,"2025-01",0,40139.26
16,"Saif el-Muhammad","Saif","el-Muhammad",0,2025-01-24,2025-02-01,"2025-02",1,6406.42
16,"Saif el-Muhammad","Saif","el-Muhammad",0,2025-01-24,2025-03-01,"2025-03",2,27450.12
16,"Saif el-Muhammad","Saif","el-Muhammad",0,2025-01-24,2025-04-01,"2025-04",3,28990.46
16,"Saif el-Muhammad","Saif","el-Muhammad",0,2025-01-24,2025-05-01,"2025-05",4,31328.63
16,"Saif el-Muhammad","Saif","el-Muhammad",0,2025-01-24,2025-06-01,"2025-06",5,36027.83
17,"Earicka Johnson","Earicka","Johnson",1,2025-02-24,2025-02-01,"2025-02",0,7041.73
17,"Earicka Johnson","Earicka","Johnson",1,2025-02-24,2025-03-01,"2025-03",1,16241.43
17,"Earicka Johnson","Earicka","Johnson",1,2025-02-24,2025-04-01,"2025-04",2,47341.22
17,"Earicka Johnson","Earicka","Johnson",1,2025-02-24,2025-05-01,"2025-05",3,25501.23
17,"Earicka Johnson","Earicka","Johnson",1,2025-02-24,2025-06-01,"2025-06",4,7626.29
18,"Adeeba el-Sesay","Adeeba","el-Sesay",1,2025-02-02,2025-02-01,"2025-02",0,43593.63
18,"Adeeba el-Sesay","Adeeba","el-Sesay",1,2025-02-02,2025-03-01,"2025-03",1,11047.43
18,"Adeeba el-Sesay","Adeeba","el-Sesay",1,2025-02-02,2025-04-01,"2025-04",2,46327.25
18,"Adeeba el-Sesay","Adeeba","el-Sesay",1,2025-02-02,2025-05-01,"2025-05",3,44450.93
18,"Adeeba el-Sesay","Adeeba","el-Sesay",1,2025-02-02,2025-06-01,"2025-06",4,7678.5
19,"Grace Wada","Grace","Wada",1,2025-06-25,2025-06-01,"2025-06",0,39482.12
20,"Karla Llerenas","Karla","Llerenas",1,2025-06-28,2025-06-01,"2025-06",0,23211.87
